data,hora,valor
20240507,1100,297.939
20240507,1200,298.017
20240507,1300,298.106
20240507,1400,298.19
20240507,1500,298.283
20240507,1600,298.406
20240507,1700,298.53
20240507,1800,298.619
20240507,1900,298.658
20240507,2000,298.662
20240507,2100,298.636
20240507,2200,298.587
20240507,2300,298.542
20240508,0000,298.487
20240508,0100,298.425
20240508,0200,298.356
20240508,0300,298.281
20240508,0400,298.203
20240508,0500,298.121
20240508,0600,298.038
20240508,0700,297.954
20240508,0800,297.872
20240508,0900,297.791
20240508,1000,297.725
20240508,1100,297.713
20240508,1200,297.777
20240508,1300,297.871
20240508,1400,297.972
20240508,1500,298.069
20240508,1600,298.162
20240508,1700,298.235
